NAME,DATE,PRCP,SNOW,TMAX,TMIN
"SAN FRANCISCO DOWNTOWN, CA US",1/1/03,0,,59,46
"SAN FRANCISCO DOWNTOWN, CA US",1/2/03,0,,57,48
"SAN FRANCISCO DOWNTOWN, CA US",1/3/03,0,,63,47
"SAN FRANCISCO DOWNTOWN, CA US",1/4/03,0,,66,50
"SAN FRANCISCO DOWNTOWN, CA US",1/5/03,0,,69,49
"SAN FRANCISCO DOWNTOWN, CA US",1/6/03,0,,69,52
"SAN FRANCISCO DOWNTOWN, CA US",1/7/03,0,,66,47
"SAN FRANCISCO DOWNTOWN, CA US",1/8/03,0,,63,45
"SAN FRANCISCO DOWNTOWN, CA US",1/9/03,0.99,,56,50
"SAN FRANCISCO DOWNTOWN, CA US",1/10/03,0.13,,61,53
"SAN FRANCISCO DOWNTOWN, CA US",1/11/03,0,,60,53
"SAN FRANCISCO DOWNTOWN, CA US",1/12/03,0.06,,61,54
"SAN FRANCISCO DOWNTOWN, CA US",1/13/03,0,,64,54
"SAN FRANCISCO DOWNTOWN, CA US",1/14/03,0,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",1/15/03,0,,67,50
"SAN FRANCISCO DOWNTOWN, CA US",1/16/03,0,,67,49
"SAN FRANCISCO DOWNTOWN, CA US",1/17/03,0,,68,48
"SAN FRANCISCO DOWNTOWN, CA US",1/18/03,0,,61,45
"SAN FRANCISCO DOWNTOWN, CA US",1/19/03,0,,52,44
"SAN FRANCISCO DOWNTOWN, CA US",1/20/03,0.02,,51,44
"SAN FRANCISCO DOWNTOWN, CA US",1/21/03,0.34,,58,49
"SAN FRANCISCO DOWNTOWN, CA US",1/22/03,0.17,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",1/23/03,0.04,,61,55
"SAN FRANCISCO DOWNTOWN, CA US",1/24/03,0,,63,54
"SAN FRANCISCO DOWNTOWN, CA US",1/25/03,0,,68,53
"SAN FRANCISCO DOWNTOWN, CA US",1/26/03,0,,62,55
"SAN FRANCISCO DOWNTOWN, CA US",1/27/03,0,,68,51
"SAN FRANCISCO DOWNTOWN, CA US",1/28/03,0,,68,51
"SAN FRANCISCO DOWNTOWN, CA US",1/29/03,0,,64,49
"SAN FRANCISCO DOWNTOWN, CA US",1/30/03,0,,64,51
"SAN FRANCISCO DOWNTOWN, CA US",1/31/03,0,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",2/1/03,0,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",2/2/03,0,,61,48
"SAN FRANCISCO DOWNTOWN, CA US",2/3/03,0,,66,46
"SAN FRANCISCO DOWNTOWN, CA US",2/4/03,0,,67,46
"SAN FRANCISCO DOWNTOWN, CA US",2/5/03,0,,65,47
"SAN FRANCISCO DOWNTOWN, CA US",2/6/03,0,,61,44
"SAN FRANCISCO DOWNTOWN, CA US",2/7/03,0,,62,48
"SAN FRANCISCO DOWNTOWN, CA US",2/8/03,0,,63,42
"SAN FRANCISCO DOWNTOWN, CA US",2/9/03,0,,64,43
"SAN FRANCISCO DOWNTOWN, CA US",2/10/03,0,,65,44
"SAN FRANCISCO DOWNTOWN, CA US",2/11/03,0,,60,48
"SAN FRANCISCO DOWNTOWN, CA US",2/12/03,0.36,,55,50
"SAN FRANCISCO DOWNTOWN, CA US",2/13/03,0.29,,61,52
"SAN FRANCISCO DOWNTOWN, CA US",2/14/03,0,,60,52
"SAN FRANCISCO DOWNTOWN, CA US",2/15/03,0.61,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",2/16/03,0.16,,60,47
"SAN FRANCISCO DOWNTOWN, CA US",2/17/03,0,,61,47
"SAN FRANCISCO DOWNTOWN, CA US",2/18/03,0,,61,46
"SAN FRANCISCO DOWNTOWN, CA US",2/19/03,0.03,,57,48
"SAN FRANCISCO DOWNTOWN, CA US",2/20/03,0,,65,45
"SAN FRANCISCO DOWNTOWN, CA US",2/21/03,0,,67,48
"SAN FRANCISCO DOWNTOWN, CA US",2/22/03,0,,68,48
"SAN FRANCISCO DOWNTOWN, CA US",2/23/03,0,,62,49
"SAN FRANCISCO DOWNTOWN, CA US",2/24/03,0.04,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",2/25/03,0.02,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",2/26/03,0.29,,55,49
"SAN FRANCISCO DOWNTOWN, CA US",2/27/03,0,,57,44
"SAN FRANCISCO DOWNTOWN, CA US",2/28/03,0,,63,45
"SAN FRANCISCO DOWNTOWN, CA US",3/1/03,0,,63,48
"SAN FRANCISCO DOWNTOWN, CA US",3/2/03,0,,65,48
"SAN FRANCISCO DOWNTOWN, CA US",3/3/03,0,,56,47
"SAN FRANCISCO DOWNTOWN, CA US",3/4/03,0,,59,46
"SAN FRANCISCO DOWNTOWN, CA US",3/5/03,0,,62,46
"SAN FRANCISCO DOWNTOWN, CA US",3/6/03,0,,61,48
"SAN FRANCISCO DOWNTOWN, CA US",3/7/03,0,,59,46
"SAN FRANCISCO DOWNTOWN, CA US",3/8/03,0,,60,46
"SAN FRANCISCO DOWNTOWN, CA US",3/9/03,0,,61,47
"SAN FRANCISCO DOWNTOWN, CA US",3/10/03,0,,65,51
"SAN FRANCISCO DOWNTOWN, CA US",3/11/03,0,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",3/12/03,0,,63,53
"SAN FRANCISCO DOWNTOWN, CA US",3/13/03,0.04,,64,53
"SAN FRANCISCO DOWNTOWN, CA US",3/14/03,0.21,,67,56
"SAN FRANCISCO DOWNTOWN, CA US",3/15/03,0.57,,62,51
"SAN FRANCISCO DOWNTOWN, CA US",3/16/03,0.37,,58,50
"SAN FRANCISCO DOWNTOWN, CA US",3/17/03,0,,61,50
"SAN FRANCISCO DOWNTOWN, CA US",3/18/03,0,,61,48
"SAN FRANCISCO DOWNTOWN, CA US",3/19/03,0.18,,62,48
"SAN FRANCISCO DOWNTOWN, CA US",3/20/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",3/21/03,0,,60,48
"SAN FRANCISCO DOWNTOWN, CA US",3/22/03,0,,59,50
"SAN FRANCISCO DOWNTOWN, CA US",3/23/03,0.22,,61,50
"SAN FRANCISCO DOWNTOWN, CA US",3/24/03,0,,62,47
"SAN FRANCISCO DOWNTOWN, CA US",3/25/03,0,,65,48
"SAN FRANCISCO DOWNTOWN, CA US",3/26/03,0.12,,61,51
"SAN FRANCISCO DOWNTOWN, CA US",3/27/03,0,,63,47
"SAN FRANCISCO DOWNTOWN, CA US",3/28/03,0,,76,58
"SAN FRANCISCO DOWNTOWN, CA US",3/29/03,0,,78,54
"SAN FRANCISCO DOWNTOWN, CA US",3/30/03,0,,80,57
"SAN FRANCISCO DOWNTOWN, CA US",3/31/03,0,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",4/1/03,0,,56,49
"SAN FRANCISCO DOWNTOWN, CA US",4/2/03,0.2,,55,45
"SAN FRANCISCO DOWNTOWN, CA US",4/3/03,0.06,,56,43
"SAN FRANCISCO DOWNTOWN, CA US",4/4/03,0.48,,56,45
"SAN FRANCISCO DOWNTOWN, CA US",4/5/03,0,,57,43
"SAN FRANCISCO DOWNTOWN, CA US",4/6/03,0,,59,47
"SAN FRANCISCO DOWNTOWN, CA US",4/7/03,0,,63,48
"SAN FRANCISCO DOWNTOWN, CA US",4/8/03,0,,68,50
"SAN FRANCISCO DOWNTOWN, CA US",4/9/03,0,,66,50
"SAN FRANCISCO DOWNTOWN, CA US",4/10/03,0,,64,51
"SAN FRANCISCO DOWNTOWN, CA US",4/11/03,0,,62,47
"SAN FRANCISCO DOWNTOWN, CA US",4/12/03,0.92,,56,51
"SAN FRANCISCO DOWNTOWN, CA US",4/13/03,0.37,,57,47
"SAN FRANCISCO DOWNTOWN, CA US",4/14/03,0.01,,59,48
"SAN FRANCISCO DOWNTOWN, CA US",4/15/03,0,,61,47
"SAN FRANCISCO DOWNTOWN, CA US",4/16/03,0.21,,60,51
"SAN FRANCISCO DOWNTOWN, CA US",4/17/03,0,,60,50
"SAN FRANCISCO DOWNTOWN, CA US",4/18/03,0,,61,49
"SAN FRANCISCO DOWNTOWN, CA US",4/19/03,0,,67,48
